Countries and regions,Gender ,Age,Food and Water,Coffee Decaf,Instant Coffee,Natural Coffee,Green tea,Fruits,Vegetables ,Milk,Grains,Meat least,Sugar,Economy GDP ,Percentage employed,Education/ Innovation,Happiness (2005-2026),Sleep,Fitness Activity,Sunlight/tempreture/least,Environment Health,"War and corruption, mental instability lower the worse",Population number,Vaccines ,Death and reproduction and disability metric/life expectancy ,Covid(2019-2021),Viruses,Infant/iron and pathogens Disease,Weight and Metabolism,Heart,Lungs,Cancers,Accident ,Mental Health 
North European ,Male,infant,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0,0.55,0.4,0.5,0.85,0.44,0.4,0.012,0.45,0.44165,0.55,0.3296,0.3296,0,0,0,0,0.07,0
North European ,Male,child,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.0515,0.45,0.455,0.55,0.08,0.08,0,0,0,0.02,0.1,0.3
North European ,Male,teenager,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.239,0.45,0.455,0.55,0.08,0.08,0,0,0,0.02,0.1,0.3
North European ,Male,adult,0.455,0.5725,0.535,0.585,0.585,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.47,0.45,0.6,0.55,0.15,0.15,0.25,0.18,0,0.2,0.3,0.5
North European ,Male,elder,0.455,0.6225,0.585,0.635,0.635,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.12,0.45,0.615,0.55,0.02,0.02,0.35,0.5,0.1,0.3,0.1,0.05
North European ,Female,infant,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0,0.55,0.4,0.5,0.85,0.44,0.4,0.014,0.45,0.445,0.55,0.31,0.31,0,0,0,0,0.05,0
North European ,Female,child,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.048,0.45,0.46,0.55,0.08,0.08,0,0,0,0.2,0.05,0.4
North European ,Female,teenager,0.455,0,0,0,0,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.227,0.45,0.46,0.55,0.08,0.08,0,0,0,0.2,0.05,0.4
North European ,Female,adult,0.455,0.5175,0.48,0.53,0.53,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.48,0.45,0.6,0.55,0.05,0.05,0.15,0.1,0,0.7,0.2,0.3
North European ,Female,elder,0.455,0.5675,0.53,0.58,0.58,0.6,1.2,0.1,0.5,0.3,0.65,0.65,0.6,0.5,0.55,0.4,0.5,0.85,0.44,0.4,0.2,0.45,0.6125,0.55,0.01,0.01,0.3,0.4,0.05,0.5,0.15,0.01
South European ,Male,infant,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0,0.8,0.75,0.5,0.81,0.75,0.87,0.0214,0.78,0.295,0.62,0.15,0.22,0,0,0,0,0.02,0.15
South European ,Male,child,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.1134,0.78,0.33,0.62,0.03,0.24,0.01,0,0.04,0.06,0.15,0.35
South European ,Male,teenager,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.47,0.78,0.33,0.62,0.03,0.24,0.01,0,0.04,0.06,0.15,0.35
South European ,Male,adult,0.455,0.6225,0.6725,0.61,0.5875,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.94,0.78,0.4,0.62,0.01,0.02,0.04,0.04,0.06,0.1,0.26,0.5
South European ,Male,elder,0.455,0.6725,0.7225,0.66,0.6375,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.8,0.75,0.5,0.81,0.75,0.87,0.45,0.78,0.48,0.62,0.0001,0.0001,0.5,0.4,0.01,0.6,0.2,0.1
South European ,Female,infant,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0,0.815,0.75,0.5,0.81,0.75,0.84,0.0205,0.78,0.295,0.62,0.07,0.3,0,0,0,0,0.15,0.1
South European ,Female,child,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.1035,0.78,0.33,0.62,0.03,0.1,0,0.01,0,0.02,0.09,0.4
South European ,Female,teenager,0.455,0,0,0,0,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.44,0.78,0.33,0.62,0.03,0.1,0,0.01,0,0.02,0.09,0.4
South European ,Female,adult,0.455,0.5675,0.6175,0.555,0.5325,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.92,0.78,0.445,0.62,0.01,0.01,0,0.01,0.04,0.1,0.15,0.55
South European ,Female,elder,0.455,0.6175,0.6675,0.605,0.5825,0.8,1,0.2,0.4,0.05,0.2,0.55,0.55,0.55,0.815,0.75,0.5,0.81,0.75,0.84,0.47,0.78,0.49,0.62,0.001,0.001,0.26,0.25,0.04,0.3,0.05,0.25
Africa,Male,infant,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0,0.2,0.6,0.2,0.1,0.27,0.38,0.0216,0.05,0.585,0.04,0.25,0.65,0,0,0,0,0,0
Africa,Male,child,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.109,0.05,0.576,0.04,0.15,0.5,0,0.01,0,0,0.2,0.1
Africa,Male,teenager,0.345,0,0,0,0,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.37,0.05,0.576,0.04,0.15,0.5,0,0.01,0,0,0.2,0.1
Africa,Male,adult,0.345,0.2725,0.1625,0.17,0.2175,0.55,0.5,0.005,0.9,0.7,0,0.75,0.58,0.2,0.2,0.6,0.2,0.1,0.27,0.38,0.32,0.05,0.605,0.04,0.2,0.3,0.1,0.1,0.02,0,0.2,0.2
